gname	eventid	iyear	imonth	iday	country_txt	region_txt	latitude	longitude	crit1	crit2	crit3	doubtterr	alternative_txt	success	suicide	attacktype1_txt	targtype1_txt	natlty1_txt	nperps	nperpcap	weaptype1_txt	nkill	nkillus	nkillter	nwound	nwoundus	nwoundte	property	propvalue	ishostkid	nhostkid	ransom	galias
Shining Path (SL)	198304100012	1983	4	10	Peru	South America	NA	NA	1	1	0	-9	NA	1	0	Bombing/Explosion	Military	Peru	30	NA	Explosives/Bombs/Dynamite	4	NA	NA	0	NA	NA	1	20000	0	NA	0	SL
Shining Path (SL)	198310160019	1983	10	16	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Police	Peru	NA	NA	Firearms	2	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198807180008	1988	7	18	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Utilities	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	50000	0	NA	0	SL
Shining Path (SL)	198103090004	1981	3	9	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Journalists & Media	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	5000	0	NA	0	SL
Shining Path (SL)	198208240003	1982	8	24	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Utilities	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	45000	0	NA	0	SL
Shining Path (SL)	198103090005	1981	3	9	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Journalists & Media	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	10000	0	NA	0	SL
Shining Path (SL)	198212280003	1982	12	28	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Assassination	Police	Peru	NA	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198308000009	1983	8	0	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Facility/Infrastructure Attack	Police	Peru	NA	NA	Incendiary	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198707140007	1987	7	14	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Transportation	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	60000	0	NA	0	SL
Shining Path (SL)	198602210027	1986	2	21	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Government (General)	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
